r,g,b,RGB,Spanish_Judgment_id,Spanish,Country,EN_ES,Russian_Judgment_id,Russian,Country,EN_RU,Portuguese_Judgment_id,Portuguese,Country,EN_PT,German_Judgment_id,German,Country,EN_DE,French_Judgment_id,French,Country,EN_FR,Chinese_Judgment_id,Chinese,Country,EN_ZH,Italian_Judgment_id,Italian,Country,EN_IT,Korean_Judgment_id,Korean,Country,EN_KO,Japanese_Judgment_id,Japanese,country,EN_JA,name,short_name,med_name,cx,cy
172,5,244,1725244,522097031,lila,ECU,Lilac,522623975,фиолетовый,UKR,Violet,522098964,roxo,BRA,Eggplant,522379200,Lila,DEU,Purple,526554126,violet,CHE,Violet,522157760,亮紫色,CHN,Bright Purple,556670496,violet,ITA,Violet,560417317,자주형광색,KOR,Often Fluorescent,544153421,紫,JPN,Purple,Electric Purple,Plum,Vibrant Violet,355.5347937,93.90112898
172,87,74,1728774,522097423,color marrón claro,ARG,Light Brown,522541696,коричневый,RUS,Brown,522170876,verde,BRA,Brown,522455814,braun,DEU,Brown,523231513,marron rougatre,FRA,Reddish Brown,522150527,深绯,MYS,Deep System,522502678,roso scuro,ITA,Brown,531950615,갈색,KOR,Brown,556733129,茶色,JPN,Brown,Maroonish Brown,Mahogany,Dark Salmon,467.3712467,290.4641503
172,89,94,1728994,522142133,ROSA VIEJO,DOM,Old Rose,556676126,Красный,RUS,Red,556806886,verde claro,PRT,Light Green,522245087,Ziegelrot,DEU,Brick-Red,524611909,MORADO,VEN,Morado,556663076,猪肝红色,MYS,Liver Red,556840000,marrone,ITA,Brown,557389564,인디안 핑크,KOR,Indian Pink,545373650,茶,JPN,Brown,Light Burgundy,Red,Red,445.9647083,282.5496777
172,91,25,1729125,522069453,marron,DOM,Brown,522371225,коричневый,UKR,Brown,522129361,castanho,PRT,Brown,522143872,leuchten braun,DEU,Light Brown,522816757,marron,FRA,Brown,522244999,棕色,IDN,Brown,556704471,marrone,ITA,Brown,524834957,갈색,KOR,Brown,542411894,くるみいろ,JPN,Walnut color,Fired Clay Pot,Brick,Tavros Orange,447.9022456,326.9173114
172,95,82,1729582,522087994,marron,PRI,Brown,522537236,коричневый,UKR,Brown,556820761,verde claro,PRT,Light Green,522398427,braun,DEU,Brown,556981278,marron beige,FRA,Brown Beige,522263966,褐色,MYS,Brown,556756899,rosa scuro,ITA,Dark Pink,524736558,갈색,KOR,Brown,556795214,暗いピンクと茶の中間,JPN,Middle of a dark pink and brown,Adobe Clay Brown,Rust,Burgundy Red,458.633276,299.5263133
172,99,10,1729910,522110036,marron,COL,Brown,522396013,бежевый,UKR,Beige,556762701,v,PRT,V.,522330064,braun,DEU,Brown,522371868,marron,FRA,Brown,522128040,咖啡色,TWN,Brown,556688169,marone,ITA,Brown,532274633,갈색,KOR,Brown,542561845,薄茶,JPN,Light brown,Dark Goldenrod,Poo,Brown Orange,434.6249111,341.4922508
173,58,99,1735899,522073659,rosa oscuro,ARG,Dark Pink,522694213,сиреневый,UKR,Lilac,556639900,verde,BRA,Green,522539465,mildes Bordeaux-Rot,DEU,Mild Bordeaux Red,527336892,bordeaux,VEN,Burgundy,556710754,紅,HKG,Red,522460181,rossa scuro,ITA,Tv Magenta,560322905,분홍색,KOR,Pink,556692773,赤,JPN,Red,Dark Purplish Pink,Red,Magenta Mix,442.9454432,248.9024532
174,31,35,1743135,522152890,rojo sucio,PRI,Dirty Red,523085196,красный,RUS,Red,556771644,verde,PRT,Green,522315993,rot,DEU,Red,524351307,rouge,FRA,Red,522245183,红,CHN,Red,556678818,bordeaux,ITA,Bordeaux,535619956,빨강,KOR,Red,557530307,紅,JPN,Crimson,Weathered Rust,Red,Burnt Red,459.0917804,288.7412411
174,61,15,1746115,522078491,naranj,MEX,Love Orange,522353062,Красный,RUS,Red,522132315,Laranja escuro,PRT,Umber,522344985,dunkel orange,DEU,Dark Orange,525301503,orange rouille,FRA,Orange Rust,522199788,红色,IDN,Red,556885542,mattone,ITA,Brick,524873490,갈색,KOR,Brown,533760659,茶色,JPN,Brown,Paprika Orange,Red,Autumn Pumpkin,451.3438572,310.9503771
174,93,45,1749345,522130312,marron claro,DOM,Light Brown,522495512,коричневый,UKR,Brown,556639608,verde,BRA,Green,522457892,Braun,DEU,Brown,523111243,marron chatain clair,FRA,Brown Light Brown,522240675,啡色,HKG,Brown,522581533,ocra,ITA,Brown,539888138,황토색,KOR,Ocher,533761910,茶色,JPN,Brown,Brownish Orange,Tan,Reddish Brown,453.1617622,325.301421
17,52,110,1752110,522094043,azul oscuro,DOM,Dark Blue,522365199,Синий,RUS,Blue,556768909,verde,PRT,Green,522488761,Dunkelblau,DEU,Dark Blue,523165150,bleu,FRA,Blue,522199787,蓝色,IDN,Blue,522454624,blu scuro,ITA,Blue,539736688,청색,KOR,Blue,557528118,紺色,JPN,Deep blue,Deep Royal Blue,Navy,Admiral Blue,254.3217897,239.512221
17,53,114,1753114,522080339,azul,MEX,Blue,522565407,Синий,RUS,Blue,522123547,azul,PRT,Dark Blue,522334741,dunkelblau,DEU,Dark Blue,523180913,bleu,FRA,Blue,522293316,暗藍,IDN,Dark Blue,556685470,blu,ITA,Blue,530798007,군청색,KOR,Ultramarine,546047814,青,JPN,Blue,Blue Jean Blue,Blue,Deep Blue,247.5285728,238.1437588
17,64,123,1764123,522075106,Azul petroleo,DOM,Blue Oil,522984546,темно-синий,UKR,Dark Blue,522540867,azul,PRT,Blue,522246354,Dunkelblau,DEU,Dark Blue,523090089,bleu foncé,FRA,Dark Blue,522282067,蓝,CHN,Blue,522579238,blu,ITA,Blue,557353350,파랑색,KOR,Blue,527783914,深い青,JPN,Deep blue,Ultramarine Blue,Blue,Navy Blue,242.7943608,233.825755
176,5,175,1765175,522112023,morado,MEX,Purple,522600515,Фиолетовый,RUS,Violet,522490210,GERE,BRA,Dull Purple,522147880,lila,DEU,Purple,523408988,violet,FRA,Purple,522119336,紫色,HKG,Purple,556667130,viola,ITA,Violet,531951205,분홍색,KOR,Pink,540592110,紫,JPN,Purple,Bright Pink Purple,Fusia,Bright Purple,379.7033216,188.9591349
177,0,236,1770236,522080129,morado,MEX,Purple,522387778,фиолетовый,UKR,Violet,556778261,verde,PRT,Green,522407531,Lila,DEU,Purple,523195985,violet,FRA,Violet,522113651,深兰花紫,IDN,Darkorchid,522444345,melanzana,ITA,Purple,560085443,제비꽃색,KOR,Violet,539903193,紫,JPN,Purple,Bright Easter-Egg Purple,Purple,Bright Purple,378.0450204,109.4877881
177,16,71,1771671,556658189,Rojo,ESP,Red,522443545,красный,RUS,Red,522500787,vermelho,PRT,Dark Purple,522330912,dunkelrosa,DEU,Dark Pink,522864640,rouge,FRA,Red,522372538,栗色,IDN,Maroon,556742743,rosso scuro,ITA,Dark Red,542460668,와인색,KOR,Burgundy,544691793,ワインレッドみ,JPN,Red wine only,Dark Electric Red,Red,Bright Maroon,452.8814506,246.9310859
177,19,82,1771982,522102215,rosa fuerte,MEX,Pink,523129293,малиновый,RUS,Crimson,556809528,verde claro,PRT,Light Green,522179231,altrosa,DEU,Dusky Pink,523161032,bordeaux,VEN,Burgundy,522306207,铁红,CHN,Iron Oxide Red,556846640,rosso magenta,ITA,Magenta,524810674,빨강,KOR,Red,542649466,赤紫,JPN,Purplish red,Bright Fuschia,Red,Red Violet,448.1588623,244.2712203
177,208,4,1772084,522065365,verde agave,MEX,Green Agave,522642033,фисташковый,UKR,Pistachio,522546110,verde,PRT,Green,522438145,grün,DEU,Green,556939139,yellow green,FRA,Yellow Green,522276837,绿色,HKG,Green,522458847,verde brillante,ITA,Green,557393422,녹색,KOR,Green,557251973,グリーンイエロー,JPN,Yellow Green,Dandelion Greens,Green,Yellow Green,370.4778394,430.3038386
177,225,8,1772258,522064381,verde,ARG,Green,522862900,яркозеленый,RUS,Bright Green,556780137,verde,PRT,Green,522442504,gelbgrün,DEU,Yellow-Green,556828360,jaune-vert,FRA,Yellow-Green,522125940,薄緑,MYS,Thin Green,522509581,giallo,ITA,In The Spring Green,540664454,연두색,KOR,Green,560167462,明るいグリーン,JPN,Bright green,Yellowish Green,Green,Yellow Green,362.393288,463.3725851
177,82,94,1778294,522138306,rosa,PRI,Rose,522505203,бледно-бордовый,RUS,Pale Purple,556661696,verde,BRA,Green,556646873,"rosil (rosa , lila )",DEU,"Aerosil (Pink, Purple)",527261258,rouge terre,FRA,Red Earth,556690513,紅色,HKG,Red,556906808,rosso,ITA,Red,557916143,빨간색,KOR,Red,545489080,薄いピンク,JPN,Pale pink,Pale Dark Pink,Mauve,Dark Magenta,448.9616765,272.0142214
178,68,20,1786820,522095014,cafe,MEX,Coffee,522561957,Оранжевый,RUS,Orange,522319081,Vermelho,BRA,Carmine,522583820,orangebraun,DEU,Orange-Brown,525498478,Dark Orange,VEN,Dark Orange,522211762,红色,IDN,Red,556678332,marone,ITA,Brown,537552099,칙칙한 주황색,KOR,Grayish orange,556692087,橙色,JPN,Orange color,Harvest Orange,Red,Burnt Orange,458.3251111,311.9569961
178,70,98,1787098,522063262,rosa mexicano,MEX,Hot Pink,522362854,Бордовый,RUS,Vinous,556638283,verde,BRA,Green,522745772,altrosa,DEU,Dusky Pink,523814322,Mauve,FRA,Mauve,522249364,栗色,CHN,Maroon,556943704,malva,ITA,Mauve,543473725,핑크색,KOR,Pink,556712586,赤,JPN,Red,Light Burgundy,Rose,Dark Pink,450.4636486,265.6897362
178,78,83,1787883,556650897,rojo,MEX,Red,522671029,тупой красновато-коричневый,EST,Dull Reddish-Brown,556767790,verde,PRT,Green,522524295,dunkel rot,DEU,Dark Red,556988082,rose foncé,FRA,Dark Pink,522347039,紅色,HKG,Red,556830005,rosa,ITA,Pink,556895594,탁한갈색,KOR,Muddy brown,556690785,茶色,JPN,Brown,Desert Crimson,Pink,Pink,458.5293886,281.1957596
179,5,234,1795234,522111940,morado,DOM,Purple,523108701,ярко-сиреневый,UKR,Bright Purple,522205736,rosa,BRA,Light Purple,522625180,violetta,DEU,Violetta,522789340,violet,FRA,Violet,522103551,紫色,HKG,Purple,522395853,viola,ITA,Purple,542479937,옅은 보라색,KOR,Pale purple,552853023,紫,JPN,Purple,Electric Purple,Purple,Vibrant Violet,361.0399016,116.9725868
179,80,83,1798083,556658276,granate gastado,ESP,Spent Garnet,556738513,красно-коричневый,UKR,Red-Brown,556769852,verde,PRT,Green,522403289,rost,DEU,Rust,527487928,bordeaux,VEN,Burgundy,522364864,紅褐色,IDN,Reddish-Brown,556697083,marroncino,ITA,Brownish,557439381,진홍색,KOR,Scarlet,539897070,赤,JPN,Red,Sharp Brown Red,Red,Purple Cherry,479.0740429,293.7496742
180,1,237,1801237,522171869,violeta,ARG,Violet,522334591,фиолетовый,UKR,Violet,556641708,verde,BRA,Green,522208061,violett,DEU,Violet,522425365,violet,FRA,Purple,522207023,紫色,IDN,Purple,522488273,viola,ITA,Purple,530801518,보라색,KOR,Purple,527792817,ブル紫,JPN,Purple Bull,Flaming Purple,Purple,Bright Purple,378.3971781,103.6292085
180,159,7,1801597,522079298,amarillo curry,COL,Yellow Curry,522657605,тупой темно-желтого,EST,Dull Dark Yellow,556780996,verde,PRT,Green,556643081,Senf,DEU,Mustard,523137276,bronze,FRA,Bronze,522176481,棕色,IDN,Brown,556766223,giallo,ITA,Yellow,539669776,올리브색,KOR,Olive,535628425,茶色,JPN,Brown,Yellow-Jacket Yellow,Gold,Golden Yellow,395.5094008,374.8891886
180,189,2,1801892,522105554,Amarillo verdoso,ECU,Yellow-Green,522430895,"желтый, оливка",RUS,Yellow Olive,522174684,verde azeitona,PRT,Green Frog,522365592,Grünlich,DEU,Greenish,523109468,vert pomme,FRA,Apple Green,522100318,黃綠色,TWN,Yellow-Green,556667785,verde,ITA,Green,556735977,녹색,KOR,Green,549035376,黄緑,JPN,Yellow-green,Split Pea Green,Gold,Yellow-Orange,378.3178042,394.1107937
180,247,0,1802470,522203048,verde fluorecente,COL,Fluorescent Green,522472115,салатовый,RUS,Green,556654381,verde,BRA,Green,522407504,grün,DEU,Green,525266092,vert lime,VEN,Lime Green,522110062,青绿色,HKG,Green,556767520,verde,ITA,Green,557457792,밝은녹색,KOR,Bright green,525810215,わかくさいろ,JPN,Bright green,Bright Lime Green,Green,Yellow Green,363.2936301,506.9022982
18,119,25,1811925,522086700,verde,PRI,Green,522781490,зеленый,RUS,Green,522131062,a,BRA,Green,522309465,dunkel grün,DEU,Dark Green,522379615,vert,FRA,Green,522161594,绿色,HKG,Green,556691701,verde,ITA,Green,524808137,녹색,KOR,Green,556841067,グリーン,JPN,Green,Dark Leaf Green,Green,Forest Green,267.7009841,349.4833073
181,41,84,1814184,522075152,rojo remolacha,COL,Beet Red,522606917,Красный,RUS,Red,522140112,pink escuro,BRA,Ocher,522531294,weinrot,DEU,Burgundy,523445187,ROJO,VEN,Rojo,522409617,红色,CHN,Red,556666149,rosa,ITA,Pink,557922395,빨간색,KOR,Red,539883213,赤紫色,JPN,Magenta,Deep Dusty Pink,Red,Burgundy Wine,448.5376195,253.1519102
18,148,88,1814888,522092017,acua fuerte,MEX,Strong Aqua,522787668,Зеленый,BLR,Green,522135492,verde,PRT,Green,522396838,moosgrün,DEU,Moss Green,524195695,vert,CHE,Green,522276554,墨绿色,IDN,Dark Green,522486692,verde,ITA,Green,524790578,녹색,KOR,Green,549036478,緑,JPN,Green,Deep Muted Green,Green,Soft Green,214.0473752,326.6975058
18,149,77,1814977,522119809,verde,MEX,Green,556629696,зелёный,UKR,Green,522418725,alguma,BRA,Dark Green,522177911,mattgrün,DEU,Matt Green,524370451,vert,FRA,Green,522116316,绿色,HKG,Green,522464601,verde,ITA,Green,537220897,녹색,KOR,Green,540597817,緑,JPN,Green,Dark Seafoam Green,Green,Hunter Green,229.9530362,346.2231049
181,58,72,1815872,522197314,rojo anaranjado,PRI,Orange-Red,522859905,бордовый,UKR,Vinous,556800535,verde claro,PRT,Light Green,522372753,rot,DEU,Red,523387753,rouge,FRA,Red,522099569,紅色,TWN,Red,556763661,rosso scuro,ITA,Dark Red,540638928,빨강색,KOR,Red,557622167,ワインレッド,JPN,Wine red,Candy Apple Red,Red,Deep Rose,456.8192832,271.665644
181,95,51,1819551,522108060,MARRÓN,DOM,Brown,522403046,Умбра жженая,RUS,Burnt Umber,556780559,verde,PRT,Green,522374318,Braunrot,DEU,Brown Red,523842752,marron,FRA,Brown,522117070,棕色,HKG,Brown,556817289,marrone,ITA,Brown,557393120,오렌지빛 밤색,KOR,Orange-brown,546071575,茶色,JPN,Brown,Brown With A Hint Of Red,Tan,Arizona Rust,450.1344107,317.4848871
18,201,13,1820113,522063530,verde,ARG,Green,522824312,Зеленый,BLR,Green,522163076,verde,PRT,Green,522447597,grün,DEU,Green,522774099,vert,FRA,Green,522247167,绿色,IDN,Green,522672159,verde,ITA,Green,542623984,녹색,KOR,Green,527794423,明るい緑,JPN,Bright green,Medium Bright Green,Lime,Blinding Green,245.3683665,418.8996449
18,211,68,1821168,522061654,verde,ARG,Green,522360022,Зелёный,RUS,Green,522588252,verde,PRT,Acid Green,522282273,grasgrün,DEU,Grass Green,523193603,vert,CHE,Green,522129990,綠色,TWN,Green,522412734,j,ITA,Green,557053587,녹색,KOR,Green,539587680,緑色,JPN,Green,Bright Faded Green,Lime,Textile Green,194.3966994,424.3469207
182,219,0,1822190,522116306,verde,ARG,Green,522510290,салатовый,UKR,Green,522193555,verde,BRA,Light Green,522400485,Hellgrün,DEU,Light Green,525116812,vert,FRA,Green,522228730,绿,CHN,Green,556699149,verde acido,ITA,Acid Green,539671533,연두색,KOR,Green,535623975,暗い黄緑,JPN,Dark yellow-green,Electric Lime Green,Lime,Yellow Green,360.4111302,446.2583382
183,103,1,1831031,522187869,marron,ESP,Brown,522460992,оранжевый,RUS,Orange,556655063,verde,BRA,Green,522153086,orangebraun,DEU,Orange-Brown,523204314,marron clair oranger,FRA,Light Brown Orange,522253009,黃褐色,IDN,Tan,556732790,marrone chiaro,ITA,Light Brown,524734358,갈색,KOR,Brown,539760398,オレンジ茶色,JPN,Orange brown,Downtown Brown,Tan,Mustard Brown,441.1459049,339.2747627
18,40,195,1840195,522072500,azul,MEX,Blue,522560183,синий,RUS,Blue,522210486,azul,BRA,Turquoise-Blue,522447782,blau,AUT,Blue,523406594,bleu,FRA,Blue,522121458,深藍色,TWN,Navy Blue,522601570,blu brillante,ITA,Blue,524793876,짙은 파랑,KOR,Dark blue,538622466,青,JPN,Blue,Bright Dark Blue,Blue,Royal Blue,230.0171555,167.5821492
184,228,0,1842280,522070310,verde,DOM,Green,522666650,лимонный,RUS,Citric,522203792,Verde Claro,PRT,Yellow-Green,522502541,gelb grün,DEU,Yellow-Green,523835551,VERT,FRA,"<Condition Percentage = ""0000""> Green </Condition>",556669874,绿色,MYS,Green,522782190,gialo,ITA,Green,556883011,밝은노란연두,KOR,Bright yellow light green,540483379,黄緑,JPN,Yellow-green,Springtime Green,Green,Banana Yellow,362.944328,470.4494592
18,44,203,1844203,522064973,azul,ARG,Blue,523030203,синий,RUS,Blue,556788493,verde claro,PRT,Light Green,522576397,blau,DEU,Blue,522769954,bleu,FRA,Blue,522227955,蓝,CHN,Blue,556715426,azzuro,ITA,Blue,556889122,선명한 파랑,KOR,Vivid blue,533784616,青,JPN,Blue,Light Royal Blue,Blue,Bright Blue,222.8789783,154.5459018
184,5,178,1845178,522096192,violeta,DOM,Violet,522449683,сиреневый,RUS,Lilac,522172304,rosa,PRT,Light Purple,522349519,magenta,DEU,Magenta,526633183,violet,VEN,Purple,522094361,紫紅色,TWN,Purple,522416715,viola acceso,ITA,Purple,535990164,짙은 분홍색,KOR,Dark pink,556644307,紫,JPN,Purple,Bright Pinkish Purple,Pink,Bright Purple,385.307175,186.964289
184,68,99,1846899,522109627,rojo,COL,Red,522702141,тёмно-розовый,UKR,Dark Pink,522440452,gregr,BRA,Fireplace-Red,522206621,magenta,DEU,Magenta,523227860,mauve rosatre,FRA,Pinkish Purple,556671433,红色,IDN,Red,522775400,viola,ITA,Red,542631065,분홍색,KOR,Pink,540697045,ピンク,JPN,Pink,Roasted Red Pepper,Red,Plum Pink,455.8542955,258.1046542
185,112,3,1851123,522068654,marron,ARG,Brown,556647827,коричневый,RUS,Brown,556636892,verde,BRA,Green,522579252,orangebraun,DEU,Orange-Brown,522376839,marron,FRA,Brown,522150916,棕黄色,CHN,Brown,556787133,marrone,ITA,Brown,542454325,갈색,KOR,Brown,557459844,土色,JPN,Soil color,Cinnamon Parsnip,Tan,Mustard Brown,442.5119551,346.292668
186,54,49,1865449,522130717,Rojo carmesi,COL,Crimson Red,522368533,Красный,RUS,Red,556659841,verde,BRA,Green,522411016,Rot,DEU,Red,522335387,rouge,FRA,Red,522372833,赤紅,IDN,Crimson,522469502,rosso,ITA,Brown,557585730,갈색,KOR,Brown,545377899,赤,JPN,Red,Coral Reef Brown,Clay,Midnight Wine,453.9837094,291.8235305
187,10,30,1871030,522082111,Rojo,DOM,Red,522535822,красный,RUS,Red,556733721,v,PRT,V.,522374446,rot,DEU,Red,524334516,Rouge,FRA,Red,522107919,紅色,HKG,Red,556746653,rosso,ITA,Red,534795464,보라색,KOR,Purple,539744092,ピンクレッド,JPN,Pink Red,Blood (Or Ruby) Red,Red,Violent Red,461.3551402,276.2679054
187,17,58,1871758,522085188,rojo,DOM,Red,522358402,Красный,RUS,Red,556776835,verde,PRT,Green,522408689,Magenta,DEU,Magenta,523053976,rouge aubergine,FRA,Eggplant Red,522242796,紅色,HKG,Red,522574053,viola,ITA,Red,533285592,빨강,KOR,Red,549053192,赤紫,JPN,Purplish red,Watermelon Red,Red,Oh My Gosh Red,461.539303,261.6366455
187,2,189,1872189,522093487,morado,MEX,Purple,522376825,сиреневый,RUS,Lilac,556746100,v,PRT,V.,522328939,Lila,DEU,Purple,522844977,violet clair,FRA,Light Purple,522171257,紫红色,CHN,Purple,556667133,viola,ITA,Violet,537063796,짙은 자주색,KOR,Deep purple,540661767,紫,JPN,Purple,Floresent Pink,Pink,Bright Purple,386.9808151,172.4166095
18,76,114,1876114,522117359,azul,MEX,Blue,522637281,тёмно-синий,UKR,Dark Blue,556782209,verde,PRT,Green,522612808,Ozean,DEU,Ocean,522316586,bleu foncé,FRA,Dark Blue,522256741,蓝色,CHN,Blue,556747341,blu,ITA,Blue,537222471,청록,KOR,Teal,548141871,暗く落ち着いた青,JPN,Dark blue calm,Night Time Sky,Blue,Pretty Blue,249.9087848,246.5460802
188,0,216,1880216,522131339,VIOLETA,DOM,Violet,522493434,сиреневый,UKR,Lilac,556777683,verde,PRT,Green,522458997,Lila,DEU,Purple,522804392,violet,FRA,Purple,522127383,紫色,TWN,Purple,556747610,viola,ITA,Violet,539665927,보라색,KOR,Purple,550462614,紫,JPN,Purple,Purple Passion Fruit,Purple,Bright Purple,376.9225694,152.3581678
189,119,4,1891194,522160003,marron,COL,Brown,556637892,светло-коричневый,RUS,Light-Brown,556807155,verde claro,PRT,Light Green,522581911,braun,DEU,Brown,525187452,marron,FRA,Brown,522150911,棕黄色,CHN,Brown,556694268,marone,ITA,Brown,542578538,갈색,KOR,Brown,556918745,茶色,JPN,Brown,Light Warm Brown,Tan,Mustard Brown,431.4737257,352.6824539
18,94,104,1894104,556660153,azul rey,MEX,Royal Blue,556661761,зеленый,BLR,Green,556772659,verde,PRT,Green,522149820,Krickentengrün,DEU,Teal Green,556863881,lemon blue,FRA,Blue Lemon,522338003,湖水藍色,HKG,Water Blue,522604824,viola,ITA,Green,556721996,녹색,KOR,Green,542553709,水色,JPN,Light blue,Deepest Turquoise,Dark Teal,Dark Teal,244.1848387,270.8130571
190,0,225,1900225,522119628,violeta chillón,ECU,Bright Violet,522396016,светло фиолетовый,UKR,Light Purple,556709188,verde-escuro de amêndoa,PRT,Dark Green Almond,522434429,violett,DEU,Violet,522420006,violet,FRA,Purple,522177298,紫色,CHN,Purple,556712751,violetta  speranza,ITA,Violet Hope,556974387,자주색,KOR,Purple,539445033,紫色,JPN,Purple,Vibrant Purple,Purple,Bright Purple,377.577946,128.0174996
190,46,34,1904634,522059344,rojo,COL,Red,522923986,красный,UKR,Red,556649627,verde,BRA,Green,522221204,karmesinrot,DEU,Crimson,522332436,rouge,FRA,Red,522157314,深橙色,HKG,Deep Orange,522601858,rosso,ITA,Red,557601464,약간 어두운 빨강,KOR,Some dark red,524109155,乾いた赤色,JPN,Dry red,Vermillion Red,Red,Burgundy Red,462.3751633,294.7637238
190,49,91,1904991,556654484,guindo,MEX,Cherry,522407353,грязно-розовый,RUS,Dirty-Pink,522181784,rosa escuro,BRA,Red,522668425,dunkles pink,DEU,Dark Pink,523204312,rose foncé mauve,FRA,Dark Pink Purple,556677189,红色,MYS,Red,556686228,rosso,ITA,Red,535899439,진한핑크,KOR,Dark pink,556792656,赤紫,JPN,Purplish red,Pink Cranberry,Red,Cranberry Red,461.3809752,246.1509163
19,122,44,1912244,522145249,verde,COL,Green,522505206,темно-зеленый,RUS,Dark Green,556654382,verde,BRA,Green,522328530,grün,DEU,Green,522783489,vert,FRA,Green,522179546,綠葉,IDN,Green Leaves,522654272,verde scuro,ITA,Green,524788108,짙은 녹색,KOR,Dark green,548253192,緑,JPN,Green,Shamrock Green,Green,Green Green,223.9579063,329.1458014
191,39,60,1913960,522093517,rojo,DOM,Red,522751477,темнокрасный,RUS,Dark Red,556759095,v,PRT,V.,522586828,rot,DEU,Red,522867889,rouge tire sur brun,FRA,Red-Brown Shoots,556658227,猪肝红色,MYS,Liver Red,556689459,rosso,ITA,Red,557585858,다홍색,KOR,Crimson,525558973,ワイン色,JPN,Burgundy,Candy Apple Red,Red,Light Maroon,466.5769198,273.2031054
19,182,89,1918289,522072348,verde,DOM,Green,522716050,бледно-зеленый,RUS,Pale Green,556734188,v,PRT,V.,522239239,grün,DEU,Green,523326882,vert,FRA,Green,522097433,綠色,TWN,Green,556664415,verde,ITA,Green,535922384,녹색,KOR,Green,540607316,緑,JPN,Green,Empty Watermelon,Green,Spring Green,203.5845412,363.5791395
191,9,238,1919238,522077696,morado,MEX,Purple,522698218,яркий фиолет,RUS,Bright Violet,522247541,Q,BRA,Lilac,522321752,hellviolett,DEU,Light Purple,522649734,mauve,FRA,Mauve,522158831,紫色,CHN,Purple,556688860,viola,ITA,Violet,556649792,밝은분홍,KOR,The light pink,548234861,紫,JPN,Purple,Nerd Rage Purple,Pink,Bright Purple,394.2487878,102.3853075
19,203,36,1920336,522075880,Verde manzana,DOM,Apple Green,522542526,салатовый,RUS,Green,522200150,verde completo,BRA,Green,522467603,grün,DEU,Green,523112081,VERT,FRA,Green,522179088,绿色,IDN,Green,556665074,verde,ITA,Green,540647437,녹색,KOR,Green,556855092,グリーン,JPN,Green,Keremit The Frog Green,Lime,Bright Green,231.5181331,415.0258962
19,216,81,1921681,522059779,verde,MEX,Green,522518213,зеленый,UKR,Green,522553820,verde,PRT,Rain Forest Undergrowth Green,522349516,grün,DEU,Green,523064284,vert pastel foncé,FRA,Dark Pastel Green,522127382,綠色,TWN,Green,556667787,verde,ITA,Green,534809019,녹색,KOR,Green,546063682,ライムグリーン,JPN,Lime green,Bright Forest Green,Green,Bright Green,207.8466966,430.5433553
192,47,18,1924718,522096406,ROJO,DOM,Red,522402475,красный,UKR,Red,556660013,verde,BRA,Green,522522236,rot,DEU,Red,522817596,rouge,FRA,Red,522235146,红,CHN,Red,556816840,rosso mattone,ITA,Brick Red,524785167,빨강,KOR,Red,542745835,赤,JPN,Red,Burnt Orange-Red,Red,Rusty Orange,469.9472545,296.6006353
193,31,24,1933124,522077348,guindo,MEX,Cherry,522671703,темно-красный,EST,Dark-Red,556673183,verde,BRA,Green,522157365,signalrot,DEU,Signal Red,527266425,rouge,FRA,Red,522237026,紅色,HKG,Red,556715149,rosso,ITA,Red,530802756,빨강색,KOR,Red,542542191,赤,JPN,Red,Candy Apple Red,Red,Burdt Orange,483.2196288,304.397401
193,48,16,1934816,522078179,colorado,ARG,Red,522762931,красный,RUS,Red,556631833,#N/A,#N/A,#N/A,522449511,rot,DEU,Red,524347518,ORANGE,FRA,Orange,522253990,紅色,HKG,Red,556707742,rosso,ITA,Red,556655748,주황,KOR,Orange,556717831,紅,JPN,Crimson,Deep Terra Cotta,Red,Burnt Orange,464.4879387,308.4215657
193,52,80,1935280,522071646,rojo,ESP,Red,556679611,Красный,RUS,Red,556638150,verde,BRA,Green,522535246,dunkel altrosa,DEU,Maroon,522551818,rouge,FRA,Red,522198658,红砖,IDN,Red Brick,522391994,rosso,ITA,Red,536068881,적색,KOR,Red,538621425,朱色,JPN,Vermilion,Cranberry Rose,Red,Cranberry Red,465.3024075,267.2978851
193,66,76,1936676,522192380,CEREZA,MEX,Cherry,556667829,Красный,RUS,Red,556786831,verde,PRT,Green,522581782,rot,DEU,Red,522599084,rouge framboise,FRA,Red Raspberry,522135060,紅色,TWN,Red,556691219,rosso mattone,ITA,Brick Red,542334543,옆은 빨간색,KOR,Sides red,538625591,赤,JPN,Red,Dark Tangerine,Red,Red-Brown,473.0818342,283.1421196
193,69,64,1936964,522068238,Rojo Oscuro,VEN,Dark Red,556655053,красный,RUS,Red,556773966,verde,PRT,Green,522684799,rot,DEU,Red,525582997,rouge,VEN,Red,556671664,紅色,HKG,Red,556691510,rosso mattone,ITA,Brick Red,557923488,빨간색,KOR,Red,542108031,オレンジレッド,JPN,Orange-red,Almost Brick Red,Red,Dark Salmon,464.0950573,285.0072345
